"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"02.01.2022 02:30 - 02.01.2022 02:45","0","0","n/e","1350","1350","n/e","2463","2463","n/e"
"02.01.2022 02:45 - 02.01.2022 03:00","0","0","n/e","1353","1353","n/e","2503","2503","n/e"
"02.01.2022 03:00 - 02.01.2022 03:15","0","0","n/e","1356","1356","n/e","2541","2541","n/e"
"02.01.2022 03:15 - 02.01.2022 03:30","0","0","n/e","1348","1348","n/e","2560","2560","n/e"
"02.01.2022 03:30 - 02.01.2022 03:45","0","0","n/e","1327","1327","n/e","2560","2560","n/e"
"02.01.2022 03:45 - 02.01.2022 04:00","0","0","n/e","1307","1307","n/e","2559","2559","n/e"
"02.01.2022 04:00 - 02.01.2022 04:15","0","0","n/e","1287","1287","n/e","2562","2562","n/e"
"02.01.2022 04:15 - 02.01.2022 04:30","0","0","n/e","1289","1289","n/e","2571","2571","n/e"
"02.01.2022 04:30 - 02.01.2022 04:45","0","0","n/e","1313","1313","n/e","2586","2586","n/e"
"02.01.2022 04:45 - 02.01.2022 05:00","0","0","n/e","1338","1338","n/e","2600","2600","n/e"
"02.01.2022 05:00 - 02.01.2022 05:15","0","0","n/e","1362","1362","n/e","2616","2616","n/e"
"02.01.2022 05:15 - 02.01.2022 05:30","0","0","n/e","1377","1377","n/e","2647","2647","n/e"
"02.01.2022 05:30 - 02.01.2022 05:45","0","0","n/e","1381","1381","n/e","2702","2702","n/e"
"02.01.2022 05:45 - 02.01.2022 06:00","0","0","n/e","1386","1386","n/e","2756","2756","n/e"
"02.01.2022 06:00 - 02.01.2022 06:15","0","0","n/e","1391","1391","n/e","2810","2810","n/e"
"02.01.2022 06:15 - 02.01.2022 06:30","0","0","n/e","1395","1395","n/e","2865","2865","n/e"
"02.01.2022 06:30 - 02.01.2022 06:45","0","0","n/e","1397","1397","n/e","2918","2918","n/e"
"02.01.2022 06:45 - 02.01.2022 07:00","0","0","n/e","1400","1400","n/e","2974","2974","n/e"
"02.01.2022 07:00 - 02.01.2022 07:15","0","0","n/e","1403","1403","n/e","3030","3030","n/e"
"02.01.2022 07:15 - 02.01.2022 07:30","0","0","n/e","1404","1404","n/e","3072","3072","n/e"
"02.01.2022 07:30 - 02.01.2022 07:45","0","0","n/e","1404","1404","n/e","3103","3103","n/e"
"02.01.2022 07:45 - 02.01.2022 08:00","0","0","n/e","1404","1404","n/e","3132","3132","n/e"
"02.01.2022 08:00 - 02.01.2022 08:15","0","0","n/e","1404","1404","n/e","3165","3165","n/e"
"02.01.2022 08:15 - 02.01.2022 08:30","0","0","n/e","1404","1404","n/e","3207","3207","n/e"
"02.01.2022 08:30 - 02.01.2022 08:45","0","0","n/e","1403","1403","n/e","3268","3268","n/e"
"02.01.2022 08:45 - 02.01.2022 09:00","0","0","n/e","1403","1403","n/e","3325","3325","n/e"
"02.01.2022 09:00 - 02.01.2022 09:15","0","0","n/e","1402","1402","n/e","3388","3388","n/e"
"02.01.2022 09:15 - 02.01.2022 09:30","37","37","n/e","1401","1401","n/e","3444","3444","n/e"
"02.01.2022 09:30 - 02.01.2022 09:45","75","75","n/e","1400","1400","n/e","3502","3502","n/e"
"02.01.2022 09:45 - 02.01.2022 10:00","108","108","n/e","1399","1399","n/e","3558","3558","n/e"
"02.01.2022 10:00 - 02.01.2022 10:15","146","146","n/e","1398","1398","n/e","3617","3617","n/e"
"02.01.2022 10:15 - 02.01.2022 10:30","271","271","n/e","1400","1400","n/e","3681","3681","n/e"
"02.01.2022 10:30 - 02.01.2022 10:45","392","392","n/e","1404","1404","n/e","3755","3755","n/e"
"02.01.2022 10:45 - 02.01.2022 11:00","512","512","n/e","1409","1409","n/e","3828","3828","n/e"
"02.01.2022 11:00 - 02.01.2022 11:15","636","636","n/e","1413","1413","n/e","3900","3900","n/e"
"02.01.2022 11:15 - 02.01.2022 11:30","694","694","n/e","1418","1418","n/e","3982","3982","n/e"
"02.01.2022 11:30 - 02.01.2022 11:45","752","752","n/e","1423","1423","n/e","4076","4076","n/e"
"02.01.2022 11:45 - 02.01.2022 12:00","808","808","n/e","1428","1428","n/e","4167","4167","n/e"
"02.01.2022 12:00 - 02.01.2022 12:15","868","868","n/e","1432","1432","n/e","4261","4261","n/e"
"02.01.2022 12:15 - 02.01.2022 12:30","905","905","n/e","1435","1435","n/e","4329","4329","n/e"
"02.01.2022 12:30 - 02.01.2022 12:45","943","943","n/e","1436","1436","n/e","4372","4372","n/e"
"02.01.2022 12:45 - 02.01.2022 13:00","981","981","n/e","1437","1437","n/e","4414","4414","n/e"
"02.01.2022 13:00 - 02.01.2022 13:15","1021","1021","n/e","1438","1438","n/e","4456","4456","n/e"
"02.01.2022 13:15 - 02.01.2022 13:30","1156","1156","n/e","1438","1438","n/e","4483","4483","n/e"
"02.01.2022 13:30 - 02.01.2022 13:45","1293","1293","n/e","1437","1437","n/e","4495","4495","n/e"
"02.01.2022 13:45 - 02.01.2022 14:00","1428","1428","n/e","1436","1436","n/e","4505","4505","n/e"
"02.01.2022 14:00 - 02.01.2022 14:15","1564","1564","n/e","1435","1435","n/e","4516","4516","n/e"
"02.01.2022 14:15 - 02.01.2022 14:30","1504","1504","n/e","1433","1433","n/e","4510","4510","n/e"
"02.01.2022 14:30 - 02.01.2022 14:45","1445","1445","n/e","1429","1429","n/e","4484","4484","n/e"
