,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2023-09-02 10:00:00,0.0,118.05915,0.0,140.57616,141.23029,0.0,154.41052,160.22685,163.9735,165.90251,0.0,175.70262,0.0,185.00328,191.97864,198.3434,205.51045,216.04976,226.78084,248.23334
2023-09-02 11:00:00,0.0,49.99304,0.0,59.92552,60.210835,0.0,66.44183,64.5698,68.16521,68.40045,0.0,74.4221,0.0,77.11877,80.02801,81.962296,85.75778,89.77195,98.0099,120.449265
2023-09-02 12:00:00,0.0,4.6942215,0.0,16.085032,17.670446,0.0,20.105051,16.01524,19.572409,19.484667,0.0,24.320347,0.0,25.72634,26.451607,27.179941,31.99327,36.0724,46.581028,72.689674
2023-09-02 13:00:00,0.0,124.11567,0.0,145.18791,149.07652,0.0,155.69444,153.53857,159.09888,159.38736,0.0,167.24126,0.0,172.82349,174.35011,177.22505,185.78352,192.85774,204.52473,230.88243
2023-09-02 14:00:00,0.0,247.86995,0.0,288.74167,296.4924,0.0,312.528,314.6848,323.86514,327.07993,0.0,340.5104,0.0,354.45013,358.10544,367.2534,382.395,396.09927,417.0922,454.60382
2023-09-02 15:00:00,0.0,366.321,0.0,422.49582,433.45013,0.0,454.13287,462.03064,474.3424,478.00076,0.0,499.27844,0.0,520.4667,527.95386,541.52277,558.3758,577.06433,608.9455,660.6259
2023-09-02 16:00:00,0.0,474.38004,0.0,542.6996,557.36505,0.0,586.4524,595.02997,611.7437,617.1797,0.0,645.09796,0.0,671.3204,680.8869,700.3001,722.9665,745.06915,783.6477,839.7012
2023-09-02 17:00:00,0.0,619.6289,0.0,691.178,707.5285,0.0,729.9372,735.7538,753.20276,753.40356,0.0,783.32184,0.0,807.4089,812.347,825.8264,847.30225,864.0227,896.62744,946.8642
2023-09-02 18:00:00,0.0,629.0874,0.0,709.0165,727.1011,0.0,751.61346,760.0137,777.2388,779.9094,0.0,810.22516,0.0,837.89764,844.58264,859.8424,884.42755,904.77814,944.97156,1006.29974
2023-09-03 06:00:00,0.0,520.6504,0.0,600.29034,616.4498,0.0,653.7271,666.4265,684.2444,693.45953,0.0,724.1662,0.0,755.8081,769.35626,794.80664,822.00116,850.37524,898.27594,966.1314
2023-09-03 07:00:00,0.0,417.33627,0.0,480.0772,492.63715,0.0,524.90265,533.27435,548.32465,555.9199,0.0,581.27905,0.0,606.01935,618.1329,640.38007,663.5298,687.42456,729.25214,785.82983
2023-09-03 08:00:00,0.0,301.86942,0.0,345.9068,355.63675,0.0,377.53656,381.19162,393.05756,396.16644,0.0,417.99573,0.0,435.51654,442.9274,457.22516,475.09262,490.925,520.40656,561.8077
2023-09-03 09:00:00,0.0,180.33777,0.0,208.68817,213.24654,0.0,227.78908,229.52217,237.14008,238.60004,0.0,253.11668,0.0,264.4691,268.62476,276.63873,287.99258,298.21765,314.60266,344.10513
2023-09-03 10:00:00,0.0,73.16045,0.0,84.45394,87.24585,0.0,90.714806,84.69072,91.010895,88.96608,0.0,98.56498,0.0,101.37591,100.38379,101.92177,107.917175,110.99186,119.67809,143.04199
2023-09-03 11:00:00,0.0,175.23918,0.0,205.9643,212.42451,0.0,224.362,222.6032,230.83788,233.60657,0.0,244.36858,0.0,254.42667,257.04984,264.17545,277.1628,287.5574,308.13632,344.29028
2023-09-03 12:00:00,0.0,413.3357,0.0,466.45972,477.58862,0.0,495.59686,499.96304,512.44257,512.5221,0.0,533.59674,0.0,552.5317,554.991,565.9005,583.46387,598.79144,621.30963,659.4993
2023-09-03 13:00:00,0.0,390.50632,0.0,525.8535,573.23755,0.0,648.2918,676.448,716.1,748.0562,0.0,839.35156,0.0,929.3337,935.8539,978.8002,1045.4498,1076.45,1151.9209,1287.9873
2023-09-03 14:00:00,0.0,671.55835,0.0,782.43695,804.3012,0.0,869.9182,899.4308,921.4317,947.10645,0.0,994.5125,0.0,1051.6382,1066.8594,1100.7799,1141.3807,1171.0372,1216.8693,1298.1222
2023-09-03 15:00:00,0.0,772.58435,0.0,862.6521,879.952,0.0,922.15076,938.2256,956.9613,965.86865,0.0,999.5211,0.0,1034.3727,1047.1997,1071.8673,1100.4288,1126.9137,1170.3804,1233.1176
2023-09-03 16:00:00,0.0,697.139,0.0,775.18774,789.929,0.0,820.4722,833.11816,849.8321,854.967,0.0,881.1366,0.0,909.7603,920.1103,939.5134,959.7969,982.49774,1024.0111,1083.7708
2023-09-03 17:00:00,0.0,542.4592,0.0,612.2352,624.74835,0.0,654.09766,663.8169,678.85333,685.2843,0.0,708.52405,0.0,733.68317,744.6993,764.3161,786.2246,809.578,848.8975,902.66455
2023-09-03 18:00:00,0.0,367.95523,0.0,421.2492,432.4927,0.0,461.2551,467.8603,481.87497,486.67645,0.0,511.7937,0.0,533.1184,543.7174,562.7828,583.4276,603.64886,637.6609,683.56146
2023-09-04 05:00:00,0.0,233.72943,0.0,271.08273,275.86963,0.0,297.20264,303.98483,310.99905,315.07187,0.0,330.3589,0.0,344.7414,353.5621,365.02808,379.61716,394.6959,413.5882,443.52203
2023-09-04 06:00:00,0.0,115.41322,0.0,137.23354,138.14534,0.0,150.32591,154.85945,158.88576,160.39949,0.0,170.46223,0.0,179.51985,185.18777,191.088,198.4956,208.488,219.51956,242.88747
2023-09-04 07:00:00,0.0,35.554077,0.0,42.01093,41.276836,0.0,48.02649,46.484566,48.19719,48.831093,0.0,52.629105,0.0,53.99146,57.14575,57.74179,61.966663,65.3614,67.527275,82.11385
2023-09-04 08:00:00,0.0,90.60645,0.0,109.69202,113.30996,0.0,119.208275,117.08611,122.4216,122.16474,0.0,130.99306,0.0,136.231,138.05154,141.2453,149.48103,156.92453,169.86018,197.29709
2023-09-04 09:00:00,0.0,257.31363,0.0,294.45026,299.338,0.0,319.31778,324.58713,332.62595,336.3856,0.0,349.23187,0.0,364.76688,369.44693,380.13318,393.20697,407.11166,423.5196,455.4126
2023-09-04 10:00:00,0.0,423.47076,0.0,488.5322,500.81653,0.0,532.70386,545.5989,557.96564,564.189,0.0,590.9427,0.0,617.6242,627.73193,645.21686,668.7088,690.6113,719.6924,767.60516
2023-09-04 11:00:00,0.0,625.43225,0.0,700.80084,715.2853,0.0,742.0395,754.3137,768.50214,771.3198,0.0,800.4783,0.0,826.42175,835.71265,850.09607,872.1519,892.3263,925.0774,979.40027
