,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2023-11-17 11:00:00,15.590855,29.877594,38.424747,43.70543,47.396008,51.411438,53.642918,56.506416,58.032787,59.990986,62.591946,65.09463,66.6057,68.695724,70.16147,72.30235,73.68141,74.84404,76.397156,77.66787,79.15263,80.71749,81.928,83.36168,84.121666,85.8434,87.11175,88.60281,89.5856,91.45436,92.138405,93.804825,94.48914,95.324745,96.27822,97.150314,98.05169,99.24567,100.37721,101.102905,101.83925,102.96155,104.38003,106.08656,108.007866,111.457535,113.25483,117.63861,121.18957,133.21228
2023-11-17 12:00:00,17.499714,28.477646,35.28156,40.546658,43.907574,47.041714,49.212498,51.612103,52.852192,54.501682,56.51809,58.363895,59.82323,61.518066,62.61551,64.19354,65.12297,66.02197,66.962906,67.80543,68.859665,70.05424,71.18684,72.13563,72.94687,74.33064,75.15671,76.464195,77.139206,78.75795,79.08739,80.6243,81.480385,82.39063,83.37492,84.2772,85.36009,86.679756,87.79222,89.108444,90.13019,91.586624,93.51693,95.06735,97.75405,101.27837,103.66858,108.72177,113.98314,130.81877
2023-11-17 13:00:00,18.950619,26.388195,30.36966,33.408863,35.76833,37.630856,38.730392,40.138412,40.688953,41.776756,42.969837,43.997005,44.822063,45.854244,46.42059,47.573112,48.06185,48.62412,49.304867,49.85118,50.453316,51.194157,51.91612,52.39068,53.150375,54.01693,54.650963,55.55769,55.874027,56.77457,57.036556,58.058567,58.72719,59.3402,60.04461,60.849194,61.701115,62.68861,63.755146,64.794495,65.74181,66.98522,68.581696,69.908875,72.32705,74.79132,77.27091,81.8597,86.11071,99.51286
2023-11-17 14:00:00,8.866993,13.696863,15.808157,17.56598,18.892406,19.985615,20.636847,21.492552,21.79095,22.416523,23.1672,23.77295,24.247643,24.828966,25.205938,25.856003,26.14754,26.463963,26.889225,27.23058,27.645357,28.104527,28.589016,28.875496,29.340618,29.902819,30.253574,30.817535,31.07743,31.643288,31.842571,32.507275,32.928177,33.41772,33.893974,34.386745,34.979137,35.65455,36.246872,37.008335,37.589302,38.45032,39.511993,40.377316,41.988174,43.587814,45.32666,48.3644,51.607582,61.89092
2023-11-17 15:00:00,2.0998816,4.5973535,5.045987,5.495431,5.7928824,6.114418,6.201629,6.35129,6.334558,6.496321,6.6495905,6.7977633,6.8671646,6.9343615,7.018631,7.171339,7.215727,7.235492,7.3251863,7.3959126,7.488581,7.588021,7.674815,7.7414865,7.8662076,7.9539766,8.019633,8.155853,8.21531,8.322772,8.39275,8.566865,8.6405525,8.733667,8.802192,8.920926,9.103184,9.235257,9.441713,9.650821,9.888343,10.166765,10.5862,10.889,11.473737,11.987073,12.783305,14.2239,15.974452,23.544197
2023-11-18 08:00:00,15.952173,20.687504,22.430134,23.584139,24.54402,25.437876,25.89965,26.53454,26.670242,27.086823,27.467993,27.919617,28.191113,28.56229,28.804388,29.08397,29.251846,29.452524,29.677526,29.884922,30.163593,30.436712,30.616089,30.807835,30.925133,31.243063,31.399746,31.667984,31.879482,32.095173,32.257656,32.406055,32.639145,32.81316,32.94115,33.16239,33.332523,33.473083,33.686283,34.007313,34.23701,34.420906,34.749317,35.09344,35.434467,36.201653,36.845398,38.217995,39.308468,46.587006
2023-11-18 09:00:00,55.46826,66.8415,71.9401,75.093056,77.70623,80.024635,81.234314,83.07638,83.36743,84.66317,86.09333,87.59263,88.54715,89.80445,90.6317,91.78002,92.28072,92.99901,94.064255,94.86592,95.826706,96.83476,97.69297,98.31886,98.882126,99.980545,100.60113,101.64639,102.337364,103.120514,103.7576,104.31577,105.1386,105.76887,106.20341,107.03169,107.71445,108.19527,108.916115,109.977005,110.651924,111.16437,112.15961,113.09626,113.99351,116.03288,117.33486,120.58049,123.43399,137.15666
2023-11-18 10:00:00,93.11268,110.09847,118.162155,123.27611,127.257744,130.90265,132.68712,135.88403,136.41037,138.53418,141.0983,143.78716,145.38058,147.57288,149.11201,151.1399,152.00462,153.23729,155.06615,156.42526,158.04407,159.65062,161.27768,162.21901,163.16644,164.89966,165.80042,167.55269,168.66153,169.94843,170.98405,171.85956,173.01308,174.01524,174.73694,175.94493,177.08743,177.88301,178.8439,180.47838,181.34038,182.00473,183.54547,184.92227,186.08466,189.18288,190.58247,195.50166,199.78142,217.03423
2023-11-18 11:00:00,111.95313,132.68225,142.96638,149.75691,155.22426,159.82071,162.36244,166.1887,167.00978,169.64642,172.57819,175.83554,177.7852,180.39488,182.1438,184.59384,185.71132,187.25359,189.03914,190.55246,192.3225,194.1358,195.7344,196.75441,197.89262,199.88647,201.01166,202.99405,204.05113,205.66925,206.57828,207.74933,209.08798,210.1263,210.92758,212.39778,213.60492,214.7076,216.08334,217.98854,219.16225,220.30206,222.27292,224.42699,226.54254,230.52686,232.96095,240.01889,244.83148,262.7364
2023-11-18 12:00:00,108.297134,129.41113,140.83543,148.64854,154.70966,159.92184,162.9672,167.40868,168.49825,171.12936,174.23564,177.51501,179.41891,182.14095,184.00418,186.43655,187.66548,189.2238,191.10762,192.58076,194.57048,196.31055,197.65121,198.80504,199.80327,201.97443,203.04623,204.9268,206.22017,207.58994,208.72125,209.7739,211.01567,212.14148,212.9735,214.37163,215.27988,216.20593,217.41756,219.43842,220.48674,221.63274,223.49037,225.83847,227.97029,231.61235,234.04916,241.09479,245.22397,261.48004
2023-11-18 13:00:00,76.8871,97.58942,106.97877,112.63024,117.148735,121.06914,123.31381,126.95228,128.12396,130.22803,132.71255,135.66771,137.0451,139.57051,140.74132,142.92137,143.88039,145.06792,146.88623,148.62805,150.98569,152.77454,154.41469,155.37648,156.99489,158.91591,160.24744,162.12924,163.67047,165.33499,167.0518,168.86441,170.25084,172.08958,173.25322,174.92691,176.5965,177.87016,179.63991,182.23419,184.13463,185.77502,188.48444,190.77357,193.6358,197.84792,201.56117,207.86383,216.00793,238.22316
